21	42	sc	39090.63096	41.96551634
22	42	ti	39097.63065	41.97303082
23	42	v	39114.5832	41.99123013
24	42	cr	39128.7422	42.00643044
14	43	si	40080.9433	43.02866031
15	43	p	40060.01225	43.00618991
16	43	s	40042.28107	42.98715471
17	43	cl	40030.07813	42.97405431
18	43	ar	40022.23649	42.96563596
19	43	k	40017.65306	42.96071545
20	43	ca	40015.83766	42.95876654
21	43	sc	40018.05837	42.96115057
22	43	ti	40024.9252	42.96852241
23	43	v	40036.2223	42.98065035
24	43	cr	40052.1133	42.99771004
14	44	si	41018.5844	44.03525939
15	44	p	40997.8404	44.01298979
16	44	s	40976.62423	43.99021329
17	44	cl	40965.50935	43.97828098
18	44	ar	40953.06735	43.96492395
19	44	k	40949.93079	43.96155671
20	44	ca	40944.27192	43.95548166
21	44	sc	40947.92431	43.95940267
22	44	ti	40948.19194	43.95968998
23	44	v	40961.62402	43.97410991
24	44	cr	40972.2794	43.98554893
25	44	mn	40992.1394	44.00686951
15	45	p	41935.1375	45.01921956
16	45	s	41913.98183	44.99650802
17	45	cl	41898.87185	44.98028679
18	45	ar	41887.46391	44.96803986
19	45	k	41880.62631	44.9606994
20	45	ca	41876.42255	44.95618648
21	45	sc	41876.16671	44.95591182
22	45	ti	41878.22876	44.95812552
23	45	v	41885.35487	44.96577571
24	45	cr	41898.26928	44.9796399
25	45	mn	41912.1205	44.9945098
26	45	fe	41930.8135	45.01457756
15	46	p	42874.2326	46.02737957
16	46	s	42849.4276	46.00075031
17	46	cl	42834.02035	45.98420995
18	46	ar	42819.00847	45.96809403
19	46	k	42813.31028	45.96197677
20	46	ca	42805.59352	45.95369249
21	46	sc	42806.97149	45.9551718
22	46	ti	42804.60518	45.95263146
23	46	v	42811.65559	45.96020039
24	46	cr	42819.25486	45.96835854
25	46	mn	42836.3586	45.98672016
26	46	fe	42849.4836	46.00081043
16	47	s	43788.2247	47.0085904
17	47	cl	43769.7057	46.98870944
18	47	ar	43754.31486	46.97218669
19	47	k	43744.52643	46.96167838
20	47	ca	43737.88258	46.95454591
21	47	sc	43735.89058	46.95240741
22	47	ti	43735.29031	46.951763
23	47	v	43738.22065	46.95490885
24	47	cr	43745.66432	46.96289995
25	47	mn	43757.9597	46.97609959
26	47	fe	43773.5997	46.99288982
27	47	co	43790.9257	47.01149004
16	48	s	44724.9158	48.01416961
17	48	cl	44707.0128	47.99494995
18	48	ar	44688.0008	47.97453972
19	48	k	44679.59287	47.96551344
20	48	ca	44667.50267	47.95253408
21	48	sc	44667.2207	47.95223137
22	48	ti	44663.22907	47.94794618
23	48	v	44667.24142	47.95225362
24	48	cr	44668.89762	47.95403162
25	48	mn	44682.39337	47.9685199
26	48	fe	44693.5568	47.98050434
27	48	co	44713.3558	48.00175944
28	48	ni	44730.1138	48.01974989
16	49	s	45665.2119	49.02361894
17	49	cl	45643.5089	49.00031981
18	49	ar	45625.0649	48.98051936
19	49	k	45612.89164	48.96745083
20	49	ca	45601.92164	48.95567405
21	49	sc	45596.65853	48.95002387
22	49	ti	45594.6521	48.94786988
23	49	v	45595.25396	48.948516
24	49	cr	45597.88042	48.95133563
25	49	mn	45605.59531	48.9596179
26	49	fe	45618.6289	48.97361003
27	49	co	45633.6349	48.98971964
28	49	ni	45652.2089	49.00965964
17	50	cl	46582.008	50.00783999
18	50	ar	46560.202	49.98443028
19	50	k	46549.35286	49.97278325
20	50	ca	46535.13417	49.95751886
21	50	sc	46530.16812	49.95218759
22	50	ti	46523.27833	49.94479109
23	50	v	46525.48345	49.94715839
24	50	cr	46524.4455	49.9460441
25	50	mn	46532.07819	49.95423813
26	50	fe	46540.22946	49.96298888
27	50	co	46557.51	49.9815403
28	50	ni	46570.914	49.99593009
17	51	cl	47519.6961	51.01448952
18	51	ar	47498.4021	50.99162947
19	51	k	47484.1971	50.97637977
20	51	ca	47470.33585	50.96149911
21	51	sc	47462.98092	50.95360327
22	51	ti	47456.47125	50.94661485
23	51	v	47453.99772	50.94395941
24	51	cr	47454.75029	50.94476732
25	51	mn	47457.95776	50.94821068
26	51	fe	47465.97676	50.95681943
27	51	co	47478.9251	50.97072005
28	51	ni	47494.7601	50.98771962
18	52	ar	48434.6942	51.99678033
19	52	k	48421.4942	51.98260955
20	52	ca	48405.18406	51.96509989
21	52	sc	48397.33666	51.95667536
22	52	ti	48388.22836	51.9468972
23	52	v	48386.25189	51.94477537
24	52	cr	48382.27627	51.94050737
25	52	mn	48386.98776	51.94556536
26	52	fe	48389.36159	51.94811377
27	52	co	48403.7772	51.96358957
28	52	ni	48415.0392	51.97567982
29	52	cu	48435.0662	51.99717969
18	53	ar	49373.7893	53.00494034
19	53	k	49357.1893	52.9871195
20	53	ca	49341.2893	52.97005015
21	53	sc	49331.5643	52.95960994
